name,family,n,m,regime,truth,aegypti_found,aegypti_valid,aegypti_correct,aegypti_ms,aegypti_miss,chiba_found,chiba_valid,chiba_correct,chiba_ms,matmul_found,matmul_correct,matmul_ms,all_agree,dense_branch_runs
er_sparse_00037,er_sparse,44,9,sparse,False,False,True,True,0.10589999874355271,False,False,True,True,0.03790000482695177,False,True,0.09600000339560211,True,False
er_sparse_00038,er_sparse,58,76,sparse,True,True,True,True,0.2249000026495196,False,True,True,True,0.06359999679261819,True,True,0.13580000086221844,True,False
er_sparse_00039,er_sparse,22,7,sparse,False,False,True,True,0.08040000102482736,False,False,True,True,0.02600000152597204,False,True,0.10489999840501696,True,False
er_sparse_00040,er_sparse,57,124,sparse,True,True,True,True,0.2935999946203083,False,True,True,True,0.06930000381544232,True,True,0.17379999917466193,True,False
er_sparse_00041,er_sparse,53,92,sparse,True,True,True,True,0.22190000163391232,False,True,True,True,0.04630000330507755,True,True,0.15169999824138358,True,False
er_sparse_00042,er_sparse,38,42,sparse,True,True,True,True,0.1401999979862012,False,True,True,True,0.03619999915827066,True,True,0.11110000195913017,True,False
er_sparse_00043,er_sparse,35,40,sparse,True,True,True,True,0.14960000407882035,False,True,True,True,0.032500000088475645,True,True,0.1131999961216934,True,False
er_sparse_00044,er_sparse,29,5,sparse,False,False,True,True,0.07349999941652641,False,False,True,True,0.02630000381032005,False,True,0.09649999992689118,True,False
er_sparse_00045,er_sparse,50,23,sparse,False,False,True,True,0.13900000340072438,False,False,True,True,0.045400003727991134,False,True,0.10099999781232327,True,False
er_sparse_00046,er_sparse,42,33,sparse,False,False,True,True,0.14070000179344788,False,False,True,True,0.04270000499673188,False,True,0.11760000052163377,True,False
er_sparse_00047,er_sparse,40,53,sparse,True,True,True,True,0.19540000357665122,False,True,True,True,0.050199996621813625,True,True,0.12289999722270295,True,False
er_sparse_00048,er_sparse,19,7,sparse,False,False,True,True,0.06740000389982015,False,False,True,True,0.020799998310394585,False,True,0.09740000677993521,True,False
er_sparse_00049,er_sparse,45,58,sparse,True,True,True,True,0.1655000014579855,False,True,True,True,0.03819999983534217,True,True,0.11950000043725595,True,False
er_sparse_00050,er_sparse,39,25,sparse,True,True,True,True,0.23469999723602086,False,True,True,True,0.08720000187167898,True,True,0.14279999595601112,True,False
er_sparse_00051,er_sparse,17,10,sparse,False,False,True,True,0.09240000508725643,False,False,True,True,0.024199995095841587,False,True,0.11929999891435727,True,False
er_sparse_00052,er_sparse,29,7,sparse,False,False,True,True,0.134299996716436,False,False,True,True,0.034000004234258085,False,True,0.11369999992894009,True,False
er_sparse_00053,er_sparse,25,7,sparse,False,False,True,True,0.0836000035633333,False,False,True,True,0.033700001949910074,False,True,0.11800000356743112,True,False
er_sparse_00054,er_sparse,60,73,sparse,True,True,True,True,0.2738999974098988,False,True,True,True,0.07400000322377309,True,True,0.15409999468829483,True,False
er_sparse_00055,er_sparse,44,49,sparse,True,True,True,True,0.18480000289855525,False,True,True,True,0.045700006012339145,True,True,0.12440000136848539,True,False
er_sparse_00056,er_sparse,12,4,sparse,False,False,True,True,0.055800002883188426,False,False,True,True,0.015600002370774746,False,True,0.09970000246539712,True,False
er_sparse_00057,er_sparse,28,22,sparse,False,False,True,True,0.10270000348100439,False,False,True,True,0.03229999856557697,False,True,0.12150000111432746,True,False
er_sparse_00058,er_sparse,16,2,sparse,False,False,True,True,0.053999996453057975,False,False,True,True,0.018800004909280688,False,True,0.11280000035185367,True,False
er_sparse_00059,er_sparse,38,27,sparse,False,False,True,True,0.1616000008652918,False,False,True,True,0.04350000381236896,False,True,0.11749999976018444,True,False
er_sparse_00060,er_sparse,21,2,sparse,False,False,True,True,0.06340000254567713,False,False,True,True,0.02220000169472769,False,True,0.10409999958937988,True,False
er_sparse_00061,er_sparse,13,7,sparse,False,False,True,True,0.055900003644637764,False,False,True,True,0.017099999240599573,False,True,0.10870000551221892,True,False
